timestamp,utilized_mw,available_mw,source_file,is_gap,hour,day,dayofweek,month,year,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,lag_1h,lag_24h,lag_168h,roll_24h_mean,roll_168h_mean,util_ratio
2025-02-05 05:00:00,,,,1,5,5,2,2,2025,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 06:00:00,,,,1,6,5,2,2,2025,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 07:00:00,,,,1,7,5,2,2,2025,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 08:00:00,,,,1,8,5,2,2,2025,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 09:00:00,,,,1,9,5,2,2,2025,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 10:00:00,,,,1,10,5,2,2,2025,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 11:00:00,,,,1,11,5,2,2,2025,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 12:00:00,,,,1,12,5,2,2,2025,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 13:00:00,,,,1,13,5,2,2,2025,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 14:00:00,,,,1,14,5,2,2,2025,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 15:00:00,,,,1,15,5,2,2,2025,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 16:00:00,,,,1,16,5,2,2,2025,0,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 17:00:00,,,,1,17,5,2,2,2025,0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
2025-02-05 18:00:00,,,,1,18,5,2,2,2025,0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,,,,,,
